Les Ponts de Cé Saint Aubin, Angers, France
Eglise St Symphorien (Bouchemaine), Angers, France
Saumur, Angers, France
St Pierre Saumur, Angers, France
Saint Barthélémy d'Anjou, Angers, France
Ampoigné, Angers, France
Sainte Bernadette, Angers, France
Saint Jean (Montplaisir), Angers, France
Sceaux-d'Anjou, Angers, France
Bécon-les-Granits, Angers, France
Saint Gilles (Avrillé), Angers, France
Ambillou Château, Angers, France
Chapelle EHPAD St François, Angers, France
Mozé-sur-Louet, Angers, France
La Possonnière, Angers, France
non, Angers, France
Rochefort-sur-Loire, Angers, France
Grez-neuville, Angers, France
Chapelle EHPAD St François, Angers, France
Saint Joseph, Angers, France
Grez-neuville, Angers, France
Baracé, Angers, France
Notre Dame des Victoires, Angers, France
St Thomas à La Flèche, Angers, France
Nueil-sur-Layon, Angers, France
EHPAD des petites soeurs des pauvres, Angers, France
Feneu, Angers, France
Baracé, Angers, France
Couvent de la Haye-aux-Bonshommes, Angers, France
Saint jean de Linière, Angers, France
Notre Dame de pitié, Angers, France
EHPAD les Augustines, Angers, France
Saint-Rémy-la-Varenne, Angers, France
Eglise St Symphorien (Bouchemaine), Angers, France
Cathédrale Saint Maurice, Angers, France
Pléhérel (22), Angers, France
Jumelle, Angers, France
Saint Laud, Angers, France
La Pommeraye, Angers, France
Monastère des Bénédictines, Angers, France
Saint Pierre de Trélazé, Angers, France
Brézé, Angers, France
Notre Dame des Victoires, Angers, France
Saint Germain-des-prés, Angers, France
ND de Béhuard, Angers, France
Bécon, Angers, France
Saint Joseph, Angers, France
Cathédrale Saint Maurice, Angers, France
Saint Laud, Angers, France
Saint Barthélémy d'Anjou, Angers, France
Sainte Bernadette, Angers, France
Sainte Gemme d'Andigné, Angers, France
Saint Antoine, Angers, France
